show_type;genre;running_minutes;source_language;pelicula_id;finished;ranking;estreno_fecha;estreno_hora;efectos especiales
MOVIE;Sci-Fi;146;English;23;true;0.9;01/01/1999;05:41:16;Sonido
TV;Documentary and Biography;43;English;5;true;4.8;20/08/2008;07:23:39;Optico Sonido
TV;Reality;22;English;22;true;6.3;15/01/2011;04:53:52;Maquillaje Optico
TV;Reality;22;English;22;false;6.1;04/11/2012;10:57:37;Maquillaje Optico Sonido
TV;Reality;22;English;22;true;3.3;07/07/2008;22:41:56;Maquillaje
TV;Comedy;23;English;20;false;4.9;17/05/1999;10:59:30;Maquillaje Optico
TV;Comedy;23;English;20;true;4.6;08/03/2021;18:33:21;Maquillaje Optico
TV;Comedy;23;English;20;false;4.0;17/05/2001;02:26:20;Maquillaje
TV;Kids;12;English;6;true;7.3;06/12/2006;00:10:10;Sonido
TV;Comedy;19;English;41;true;8.1;20/08/2019;21:32:15;Maquillaje Optico Sonido
TV;Kids;23;Spanish;61;false;0.5;22/01/2007;22:41:47;Maquillaje
TV;Kids;23;Spanish;61;false;10.0;17/05/2010;23:27:25;Optico
TV;Kids;23;Spanish;61;true;3.1;17/12/2015;18:37:37;Optico Sonido
MOVIE;Comedy;107;Spanish;52;true;3.0;16/06/2021;20:44:05;Sonido
MOVIE;Action and Adventure;150;Spanish;12;false;2.2;02/01/2000;11:26:54;Maquillaje Sonido
TV;Kids;24;Spanish;23;true;2.7;07/03/2012;04:40:32;Optico
TV;Musical;46;Spanish;11;false;7.9;27/04/2003;17:20:11;Optico
TV;Musical;46;Spanish;11;true;0.3;05/09/2002;10:21:48;Maquillaje Optico Sonido
TV;Comedy;23;English;27;false;5.3;18/11/2011;19:36:40;Maquillaje Sonido
TV;Comedy;22;English;27;false;5.9;15/11/1999;14:54:36;Sonido
TV;Comedy;23;English;27;false;6.3;14/10/2010;15:22:36;Optico
TV;Comedy;21;English;27;true;6.8;18/08/2004;05:13:45;Maquillaje Sonido
TV;Comedy;21;English;27;false;2.8;05/12/2003;14:38:21;Maquillaje Optico
TV;Comedy;21;English;27;true;8.9;14/02/2010;00:09:38;Maquillaje Optico
TV;Comedy;22;English;27;true;8.4;09/11/2021;01:11:43;Maquillaje
TV;Comedy;21;English;27;false;5.6;24/05/2010;16:27:33;Maquillaje Optico
TV;Comedy;20;English;27;true;7.4;14/10/2015;18:16:30;Maquillaje Optico Sonido
TV;Comedy;21;English;27;true;8.9;03/01/2002;13:18:19;Optico Sonido
TV;Comedy;22;English;27;false;7.5;12/12/2018;13:46:59;Maquillaje Optico Sonido
TV;Comedy;21;English;27;false;9.6;10/04/2015;10:29:55;Optico Sonido
TV;Comedy;22;English;27;false;1.7;16/06/2022;22:08:24;Optico
TV;Comedy;21;English;27;true;0.8;25/09/2003;06:02:06;Maquillaje Optico
TV;Comedy;22;English;27;true;4.2;02/02/2007;20:57:04;Optico Sonido
TV;Comedy;20;English;27;true;6.3;07/09/2021;23:24:46;Maquillaje
TV;Comedy;21;English;27;true;1.1;28/01/2020;08:31:43;Maquillaje Optico Sonido
TV;Comedy;20;English;27;false;5.6;06/03/2019;15:42:56;Maquillaje Optico
TV;Comedy;21;English;27;false;6.3;04/08/2015;08:54:06;Maquillaje Optico Sonido
TV;Comedy;22;English;27;true;1.0;26/11/2013;12:35:03;Maquillaje
TV;Comedy;21;English;27;false;1.3;29/06/2009;19:54:24;Maquillaje Optico Sonido
TV;Comedy;21;English;27;true;2.2;13/05/2022;02:48:59;Maquillaje Sonido
TV;Comedy;22;English;27;false;4.1;12/05/2000;04:29:11;Maquillaje
TV;Comedy;22;English;27;true;4.4;28/02/2005;19:30:25;Sonido
TV;Comedy;22;English;27;true;0.6;29/04/2018;23:12:39;Sonido
TV;Comedy;22;English;27;false;3.0;14/04/2006;15:37:51;Maquillaje
TV;Comedy;22;English;27;true;0.1;10/02/2007;04:25:17;Optico
TV;Comedy;21;English;27;false;0.6;16/10/2001;04:52:22;Maquillaje Optico Sonido
TV;Comedy;22;English;27;false;7.6;23/08/2008;13:56:40;Maquillaje
TV;Comedy;22;English;27;false;8.4;27/09/2011;05:58:25;Optico Sonido
TV;Comedy;22;English;27;true;1.1;16/07/2009;07:22:00;Maquillaje Optico Sonido
TV;Comedy;22;English;27;false;9.7;27/08/2002;07:56:51;Maquillaje
TV;Comedy;22;English;27;true;8.8;20/05/2002;16:44:30;Maquillaje
TV;Comedy;22;English;27;false;8.1;15/07/2002;09:52:26;Maquillaje
TV;Comedy;22;English;27;true;5.0;17/02/2018;04:31:16;Maquillaje Sonido
TV;Comedy;22;English;27;true;5.5;01/07/2007;10:23:18;Maquillaje Sonido
TV;Comedy;20;English;27;true;5.8;23/09/2020;17:10:01;Optico
TV;Comedy;21;English;27;false;4.9;29/09/2000;01:45:50;Maquillaje
